                  authorA	                  authorB	        authorC	Sup(A,B,C)	Sup(A)	Sup(B)	Sup(C)	Con(A)	Con(B)	Con(C)	MinCon	MaxCon
Carlos Miguel Tavares Calafate	           Pietro Manzoni	               	       143	   151	   322	     0	0.9470	0.4441	0.0000	0.4441	0.9470
           Daniele Riccio	           Antonio Iodice	               	       143	   167	   159	     0	0.8563	0.8994	0.0000	0.8563	0.8994
           Giovanni Vigna	      Christopher Kruegel	               	       143	   237	   206	     0	0.6034	0.6942	0.0000	0.6034	0.6942
          Janne Riihijrvi	              Petri Mhnen	               	       142	   166	   345	     0	0.8554	0.4116	0.0000	0.4116	0.8554
     Michael O'Neill 0001	         Anthony Brabazon	               	       142	   277	   169	     0	0.5126	0.8402	0.0000	0.5126	0.8402
         Vincenzo Moscato	       Antonio Picariello	               	       142	   169	   209	     0	0.8402	0.6794	0.0000	0.6794	0.8402
            Caiming Xiong	           Richard Socher	               	       142	   217	   213	     0	0.6544	0.6667	0.0000	0.6544	0.6667
          Stefano Ferilli	        Floriana Esposito	               	       142	   233	   340	     0	0.6094	0.4176	0.0000	0.4176	0.6094
        Takayuki Kitasaka	             Kensaku Mori	               	       141	   142	   295	     0	0.9930	0.4780	0.0000	0.4780	0.9930
               Luca Aceto	         Anna Inglfsdttir	               	       141	   236	   158	     0	0.5975	0.8924	0.0000	0.5975	0.8924
               Ichiro Ide	           Hiroshi Murase	               	       141	   181	   254	     0	0.7790	0.5551	0.0000	0.5551	0.7790
                Qinghe Du	                Pinyi Ren	               	       141	   195	   254	     0	0.7231	0.5551	0.0000	0.5551	0.7231
       Hirozumi Yamaguchi	          Teruo Higashino	               	       140	   160	   274	     0	0.8750	0.5109	0.0000	0.5109	0.8750
             Hui Gao 0001	                Tiejun Lv	               	       140	   169	   286	     0	0.8284	0.4895	0.0000	0.4895	0.8284
        Masahiro Morikura	            Koji Yamamoto	               	       140	   192	   247	     0	0.7292	0.5668	0.0000	0.5668	0.7292
       Jerry Chun-Wei Lin	  Philippe Fournier-Viger	               	       140	   263	   267	     0	0.5323	0.5243	0.0000	0.5243	0.5323
               Umar Qasim	          Zahoor Ali Khan	               	       139	   151	   324	     0	0.9205	0.4290	0.0000	0.4290	0.9205
          Lucio Marcenaro	       Carlo S. Regazzoni	               	       139	   158	   314	     0	0.8797	0.4427	0.0000	0.4427	0.8797
